Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3535101;Interior;Palmares Paulista;2275;47;;;
3535200;Interior;Palmeira d'Oeste;2721;44;;;
3535309;Interior;Palmital;4940;83;;;
3535408;Interior;Panorama;2711;85;;;
3535507;Interior;Paraguaçu Paulista;10248;177;;;
3535606;Interior;Paraibuna;1356;60;;;
3535705;Interior;Paraíso;1386;31;;;
3535804;Interior;Paranapanema;2167;91;;;
3535903;Interior;Paranapuã;1355;29;;;
3536000;Interior;Parapuã;1610;52;;;
3536109;Interior;Pardinho;1212;19;;;
3536208;Interior;Pariquera-Açu;4491;76;;;
3536257;Interior;Parisi;1040;20;;;
3536307;Interior;Patrocínio Paulista;1147;45;;;
3536406;Interior;Paulicéia;1918;28;;;
3536505;Interior;Paulínia;25779;351;;;
3536570;Interior;Paulistânia;214;7;;;
3536604;Interior;Paulo de Faria;1607;45;;;
3536703;Interior;Pederneiras;10339;145;;;
3536802;Interior;Pedra Bela;296;11;;;
3536901;Interior;Pedranópolis;281;11;;;
3537008;Interior;Pedregulho;392;28;;;
3537107;Interior;Pedreira;6248;146;;;
3537156;Interior;Pedrinhas Paulista;781;15;;;
3537206;Interior;Pedro de Toledo;1116;25;;;
3537305;Interior;Penápolis;20567;327;;;
3537404;Interior;Pereira Barreto;5665;119;;;
3537503;Interior;Pereiras;1216;23;;;
3537602;Interior;Peruíbe;12402;308;;;
3537701;Interior;Piacatu;1862;11;;;
3537800;Interior;Piedade;9406;193;;;
3537909;Interior;Pilar do Sul;6770;93;;;
3538006;Interior;Pindamonhangaba;38587;598;;;
3538105;Interior;Pindorama;4019;70;;;
3538204;Interior;Pinhalzinho;2738;41;;;
3538303;Interior;Piquerobi;257;9;;;
3538501;Interior;Piquete;419;35;;;
3538600;Interior;Piracaia;6107;104;;;
3538709;Interior;Piracicaba;106127;1683;;;
3538808;Interior;Piraju;7545;120;;;
3538907;Interior;Pirajuí;5103;76;;;
3539004;Interior;Pirangi;3238;74;;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;1678;26;;;
3539202;Interior;Pirapozinho;4367;92;;;
3539301;Interior;Pirassununga;20522;317;;;
3539400;Interior;Piratininga;2294;51;;;
3539509;Interior;Pitangueiras;8482;194;;;
3539608;Interior;Planalto;671;14;;;
3539707;Interior;Platina;752;12;;;
3539806;RMSP (exceto capital);Poá;12056;444;;;
3539905;Interior;Poloni;1962;24;;;
3540002;Interior;Pompéia;1052;60;;;
3540101;Interior;Pongaí;398;12;;;
3540200;Interior;Pontal;8766;187;;;
3540259;Interior;Pontalinda;603;20;;;
3540309;Interior;Pontes Gestal;947;12;;;
3540408;Interior;Populina;1564;23;;;
3540507;Interior;Porangaba;1244;26;;;
3540606;Interior;Porto Feliz;14337;192;;;
3540705;Interior;Porto Ferreira;17548;219;;;
3540754;Interior;Potim;3663;41;;;
3540804;Interior;Potirendaba;6064;100;;;
3540853;Interior;Pracinha;511;6;;;
3540903;Interior;Pradópolis;2062;48;;;
3541000;Interior;Praia Grande;31954;1383;;;
3541059;Interior;Pratânia;1560;19;;;
3541109;Interior;Presidente Alves;727;11;;;
3541208;Interior;Presidente Bernardes;1418;53;;;
3541307;Interior;Presidente Epitácio;6987;151;;;
3541406;Interior;Presidente Prudente;43284;1090;;;
3541505;Interior;Presidente Venceslau;6190;140;;;
3541604;Interior;Promissão;10387;131;;;
3541653;Interior;Quadra;252;9;;;
3541703;Interior;Quatá;2933;32;;;
3541802;Interior;Queiroz;1061;3;;;
3541901;Interior;Queluz;1097;32;;;
3542008;Interior;Quintana;589;34;;;
3542107;Interior;Rafard;1172;18;;;
3542206;Interior;Rancharia;7828;120;;;
3542305;Interior;Redenção da Serra;124;7;;;
3542404;Interior;Regente Feijó;2162;81;;;
3542503;Interior;Reginópolis;999;26;;;
3542602;Interior;Registro;13168;256;;;
3542701;Interior;Restinga;731;10;;;
3542800;Interior;Ribeira;539;9;;;
3542909;Interior;Ribeirão Bonito;1825;34;;;
3543006;Interior;Ribeirão Branco;2750;72;;;
3543105;Interior;Ribeirão Corrente;347;6;;;
3543204;Interior;Ribeirão do Sul;722;27;;;
3543238;Interior;Ribeirão dos Índios;119;8;;;
3543253;Interior;Ribeirão Grande;534;30;;;
3543303;RMSP (exceto capital);Ribeirão Pires;13982;403;;;
3543402;Interior;Ribeirão Preto;106458;3532;;;
3543501;Interior;Riversul;1046;32;;;
3543600;Interior;Rifaina;1066;13;;;
3543709;Interior;Rincão;2168;50;;;
3543808;Interior;Rinópolis;675;21;;;
3543907;Interior;Rio Claro;13996;728;;;
3544004;Interior;Rio das Pedras;3744;121;;;
3544103;RMSP (exceto capital);Rio Grande da Serra;2434;110;;;
3544202;Interior;Riolândia;3040;34;;;
3544251;Interior;Rosana;5013;56;;;
3544301;Interior;Roseira;1614;33;;;
3544400;Interior;Rubiácea;735;11;;;
3544509;Interior;Rubinéia;1395;20;;;
3544608;Interior;Sabino;310;32;;;
3544707;Interior;Sagres;267;4;;;
3544806;Interior;Sales;1219;48;;;
3544905;Interior;Sales Oliveira;1862;33;;;
3545001;RMSP (exceto capital);Salesópolis;729;64;;;
3545100;Interior;Salmourão;527;26;;;
3545159;Interior;Saltinho;2579;26;;;
3545209;Interior;Salto;26222;537;;;
3545308;Interior;Salto de Pirapora;4476;191;;;
3545407;Interior;Salto Grande;2098;19;;;
3545506;Interior;Sandovalina;722;16;;;
3545605;Interior;Santa Adélia;2858;71;;;
3545704;Interior;Santa Albertina;2426;29;;;
3545803;Interior;Santa Bárbara d'Oeste;37949;914;;;
3546009;Interior;Santa Branca;2190;37;;;
3546108;Interior;Santa Clara d'Oeste;558;26;;;
3546207;Interior;Santa Cruz da Conceição;2107;17;;;
3546256;Interior;Santa Cruz da Esperança;206;8;;;
3546306;Interior;Santa Cruz das Palmeiras;5864;140;;;
3546405;Interior;Santa Cruz do Rio Pardo;9297;207;;;
3546504;Interior;Santa Ernestina;559;22;;;
3546603;Interior;Santa Fé do Sul;9777;163;;;
3546702;Interior;Santa Gertrudes;3947;88;;;
3546801;RMSP (exceto capital);Santa Isabel;9249;299;;;
3546900;Interior;Santa Lúcia;800;27;;;
3547007;Interior;Santa Maria da Serra;1363;12;;;
3547106;Interior;Santa Mercedes;909;11;;;
3547205;Interior;Santana da Ponte Pensa;573;6;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;28038;447;;;
3547403;Interior;Santa Rita d'Oeste;442;15;;;
3547502;Interior;Santa Rita do Passa Quatro;1842;49;;;
3547601;Interior;Santa Rosa de Viterbo;2515;60;;;
3547650;Interior;Santa Salete;716;9;;;
3547700;Interior;Santo Anastácio;4036;72;;;
